config,amplitude,probability
000000000000,0.0033687750002053003,1.134864500200822e-5
100000000000,0.005267239493887072,2.7743811885963737e-5
010000000000,0.005267239494147351,2.7743811888705637e-5
110000000000,0.004998707972710883,2.4987081396443347e-5
001000000000,0.005267239493839088,2.7743811885458248e-5
101000000000,0.008746241046610904,7.649673244542139e-5
011000000000,0.0049987079725308916,2.4987081394643897e-5
111000000000,0.005070471495709124,2.570968118879872e-5
000100000000,0.005267239492273552,2.774381186896614e-5
100100000000,0.0080925964478638,6.54901172679778e-5
010100000000,0.008746241048184455,7.64967324729467e-5
110100000000,0.00818304719847097,6.696226145240358e-5
001100000000,0.004998707970886786,2.4987081378207087e-5
101100000000,0.008183047198146208,6.696226144708851e-5
011100000000,0.0050704714963805365,2.5709681195607477e-5
111100000000,0.005046905331760365,2.54712534277512e-5
000010000000,0.0052672394930594,2.774381187724464e-5
100010000000,0.008284337710814087,6.863025130681638e-5
010010000000,0.008092596447047053,6.549011725475858e-5
110010000000,0.0077214680663962865,5.9621069100377605e-5
001010000000,0.008746241049490174,7.649673249578696e-5
101010000000,0.014580292734848394,0.00021258493623387288
011010000000,0.008183047196940501,6.696226142735578e-5
111010000000,0.008344196731682454,6.962561909702013e-5
000110000000,0.004998707971715352,2.4987081386490608e-5
100110000000,0.007721468066170205,5.9621069096886243e-5
010110000000,0.00818304719907314,6.696226146225876e-5
110110000000,0.007690552133006902,5.9144592110497014e-5
001110000000,0.005070471495917093,2.5709681190907725e-5
101110000000,0.008344196732319745,6.96256191076555e-5
011110000000,0.005046905330673816,2.5471253416783784e-5
111110000000,0.005055843690126485,2.556155541899179e-5
000001000000,0.005267239494270411,2.7743811890002014e-5
100001000000,0.008215411021012387,6.749297824417178e-5
010001000000,0.008284337710370633,6.863025129946893e-5
110001000000,0.007844300376481232,6.153304839646359e-5
001001000000,0.00809259644697759,6.54901172536343e-5
101001000000,0.013412039897887591,0.0001798828142225286
011001000000,0.007721468067180885,5.962106911249412e-5
111001000000,0.007813531669444776,6.105127714941646e-5
000101000000,0.008746241048432727,7.649673247728959e-5
100101000000,0.013412039897974013,0.00017988281422484678
010101000000,0.014580292733659442,0.00021258493619920237
110101000000,0.013618766623418009,0.00018547080434312436
001101000000,0.00818304719884893,6.69622614585893e-5
101101000000,0.013370445730755187,0.0001787688190390696
011101000000,0.00834419673200011,6.96256191023213e-5
111101000000,0.008287038943694244,6.867501445430501e-5
000011000000,0.004998707972373122,2.498708139306661e-5
100011000000,0.007844300376445042,6.153304839589583e-5
010011000000,0.00772146806754928,5.962106911818321e-5
110011000000,0.007351628334143843,5.4046439163386575e-5
001011000000,0.008183047196969334,6.696226142782766e-5
101011000000,0.013618766623711743,0.00018547080435112493
011011000000,0.007690552133024964,5.914459211077482e-5
111011000000,0.007825459811442212,6.123782126049717e-5
000111000000,0.00507047149590664,2.5709681190801724e-5
100111000000,0.00781353166923014,6.105127714606235e-5
010111000000,0.008344196731690992,6.962561909716263e-5
110111000000,0.00782545981121566,6.123782125695144e-5
001111000000,0.005046905331175475,2.5471253421847432e-5
101111000000,0.008287038943574479,6.867501445232001e-5
011111000000,0.0050558436913389635,2.5561555431251998e-5
111111000000,0.005051336046310564,2.551599585275644e-5
000000100000,0.0052672394942968916,2.7743811890280973e-5
100000100000,0.008249102847085969,6.804769778180183e-5
010000100000,0.00821541102099145,6.749297824382778e-5
110000100000,0.00780906740090225,6.098153367183422e-5
001000100000,0.00828433771026659,6.863025129774508e-5
101000100000,0.013775502129671347,0.0001897644589245798
011000100000,0.007844300376915522,6.1533048403277e-5
111000100000,0.007970043770372399,6.352159770165189e-5
000100100000,0.008092596447484354,6.549011726183639e-5
100100100000,0.01245259705116196,0.00015506717331860754
010100100000,0.013412039897886547,0.00017988281422250056
110100100000,0.012566638199302775,0.0001579203956321757
001100100000,0.007721468066794097,5.9621069106520965e-5
101100100000,0.012659029349692097,0.0001602510240763659
011100100000,0.007813531669029908,6.10512771429333e-5
111100100000,0.007790158083007008,6.0686562958239414e-5
000010100000,0.008746241046494846,7.649673244339125e-5
100010100000,0.013775502129147455,0.00018976445891014606
010010100000,0.013412039897733426,0.00017988281421839325
110010100000,0.012814959095056375,0.00016422317660796812
001010100000,0.014580292735134724,0.00021258493624222243
101010100000,0.024335118883896553,0.0005921980110933787
011010100000,0.013618766623596776,0.0001854708043479935
111010100000,0.013906452761029614,0.00019338942839474814
000110100000,0.008183047198422071,6.69622614516033e-5
100110100000,0.01265902935024542,0.000160251024090375
010110100000,0.013370445731042003,0.0001787688190467393
110110100000,0.012583547679063748,0.00015834567219127064
001110100000,0.008344196731756999,6.962561909826418e-5
101110100000,0.01375050223861598,0.00018907631181418308
011110100000,0.00828703894344405,6.867501445015828e-5
111110100000,0.008314751013126424,6.913508441028689e-5
000001100000,0.00499870797305231,2.4987081399856737e-5
100001100000,0.007809067401361288,6.098153367900354e-5
010001100000,0.007844300376681016,6.153304839959794e-5
110001100000,0.007439213744817743,5.534190114108523e-5
001001100000,0.007721468066476235,5.962106910161224e-5
101001100000,0.012814959094616654,0.00016422317659669808
011001100000,0.007351628333569105,5.404643915493606e-5
111001100000,0.007451411259744087,5.5523529761840966e-5
000101100000,0.008183047198587387,6.696226145430887e-5
100101100000,0.01256663819922741,0.00015792039563028153
010101100000,0.013618766623444108,0.00018547080434383521
110101100000,0.012738199925084437,0.00016226173733142115
001101100000,0.00769055213267913,5.914459210545551e-5
101101100000,0.012583547679323988,0.00015834567219782014
011101100000,0.00782545981141738,6.123782126010853e-5
111101100000,0.007784085949580517,6.059199407045682e-5
000011100000,0.005070471495702145,2.570968118872795e-5
100011100000,0.007970043770232365,6.352159769941973e-5
010011100000,0.007813531669434754,6.105127714925986e-5
110011100000,0.00745141126002388,5.5523529766010665e-5
001011100000,0.008344196731396155,6.962561909224227e-5
101011100000,0.013906452761293285,0.0001933894284020816
011011100000,0.007825459811777562,6.123782126574571e-5
111011100000,0.007975827210396061,6.361381969009422e-5
000111100000,0.005046905331215421,2.5471253422250643e-5
100111100000,0.007790158082780121,6.068656295470445e-5
010111100000,0.008287038943415023,6.867501444967717e-5
110111100000,0.007784085949321225,6.0591994066420125e-5
001111100000,0.005055843690981889,2.556155542764137e-5
101111100000,0.008314751012999475,6.91350844081758e-5
011111100000,0.00505133604642679,2.551599585393064e-5
111111100000,0.005055843690135195,2.5561555419079864e-5
000000010000,0.00526723949302857,2.7743811876919868e-5
100000010000,0.008215411021270567,6.74929782484139e-5
010000010000,0.008249102847409272,6.804769778713575e-5
110000010000,0.007809067402535879,6.098153369734846e-5
001000010000,0.008215411021075049,6.749297824520137e-5
101000010000,0.013610273854810584,0.00018523955440294054
011000010000,0.007809067401523611,6.098153368153872e-5
111000010000,0.007901117080845019,6.242765112522091e-5
000100010000,0.008284337710346935,6.863025129907629e-5
100100010000,0.01269736562690841,0.0001612230938633952
010100010000,0.013775502129108842,0.00018976445890908224
110100010000,0.012857339112203157,0.00016531116904618906
001100010000,0.007844300377637774,6.153304841460812e-5
101100010000,0.01281138145406318,0.000164131494761514
011100010000,0.00797004376980644,6.352159769263046e-5
111100010000,0.007912990392781902,6.261541695625869e-5
000010010000,0.008092596448016414,6.54901172704479e-5
100010010000,0.012697365627617037,0.0001612230938813906
010010010000,0.012452597050143899,0.00015506717329325252
110010010000,0.011852116938283953,0.0001404726759187574
001010010000,0.01341203989747956,0.00017988281421158351
101010010000,0.022307707483434795,0.0004976338131664927
011010010000,0.012566638201378802,0.00015792039568435307
111010010000,0.012782150164991247,0.00016338336284038577
000110010000,0.00772146806674891,5.9621069105823146e-5
100110010000,0.011898174494609063,0.00014156655630416564
010110010000,0.012659029349037173,0.0001602510240597845
110110010000,0.011867943658150411,0.00014084808667303258
001110010000,0.007813531668797355,6.105127713929918e-5
101110010000,0.012828205418994284,0.00016456285427191432
011110010000,0.007790158083303922,6.068656296286543e-5
111110010000,0.007784085949569511,6.059199407028548e-5
000001010000,0.008746241046510396,7.649673244366325e-5
100001010000,0.013610273855126458,0.0001852395544115388
010001010000,0.013775502129581754,0.00018976445892211142
110001010000,0.013013268857747722,0.0001693451663640267
001001010000,0.013412039897378911,0.00017988281420888372
101001010000,0.022179582741526052,0.0004919338905882003
011001010000,0.012814959093691805,0.0001642231765729943
111001010000,0.012936802405782967,0.00016736085648627196
000101010000,0.014580292734825924,0.00021258493623321764
100101010000,0.022307707483216144,0.0004976338131567375
010101010000,0.02433511888573293,0.0005921980111827556
110101010000,0.022678627071511425,0.0005143201258486908
001101010000,0.013618766624529882,0.00018547080437340902
101101010000,0.02220307978708049,0.0004929767520314623
011101010000,0.013906452758782968,0.0001933894283322624
111101010000,0.01377857237247641,0.00018984905662357022
000011010000,0.008183047199400415,6.696226146761497e-5
100011010000,0.012811381453895598,0.0001641314947572201
010011010000,0.012659029348165773,0.00016025102403772234
110011010000,0.012023894176167109,0.00014457403115966533
001011010000,0.01337044573123374,0.00017876881905186652
101011010000,0.02220307978647731,0.0004929767520046773
011011010000,0.012583547680452016,0.00015834567222620932
111011010000,0.012773350200651958,0.00016315847534849543
000111010000,0.00834419673144112,6.962561909299265e-5
100111010000,0.012828205419204819,0.0001645628542773159
010111010000,0.013750502239362427,0.00018907631183471112
110111010000,0.01286536541548758,0.00016551762727402394
001111010000,0.008287038942450366,6.867501443368888e-5
101111010000,0.01357667837361044,0.0001843261956604614
011111010000,0.008314751012357778,6.91350843975047e-5
111111010000,0.008287038943702042,6.867501445443425e-5
000000110000,0.004998707972358985,2.4987081392925274e-5
100000110000,0.007809067401489576,6.098153368100716e-5
010000110000,0.007809067402656031,6.0981533699225016e-5
